cuisine,location,name,price,ratings,tags
"American,Burger,Wraps,Fast Food", 1671| 9th Main| 4th Cross| HAL 3rd Stage| Jeevan Bhima Nagar| Bangalore,Leon Grill,650.0,"4.5,4.2",Quick Bites
"Italian,Pizza,Salad,European", 2022| 100 Feet Road|HAL 2nd Stage| Indiranagar| Bangalore,Pasta Street,1500.0,"4.7,4.1",Casual Dining
"Cafe,Italian,Pizza,Beverages,Desserts", 19| Church Street| Bangalore,Brik Oven,1200.0,"4.8,4.0",Café
"South Indian,Biryani", 159| Mahalakshmipuram| Opposite Nandini Theatre| Rajajinagar| Bangalore,Hotel Aditya,300.0,4.4,Quick Bites
"Continental,North Indian,Kebab,Beverages", 331| EPIP Area| Road 5B| Near KTPO| Whitefield| Bangalore,Windmills Craftworks,2500.0,"4.9,3.9","Microbrewery,Pub"
"Cafe,French,Desserts", 2984| 12th Main| HAL 2nd Stage| Indiranagar| Bangalore,Paris Panini - French Street Food,800.0,"4.2,4.6",Café
North Indian, 107| 1st Floor| Wheeler Road| Near Railway Cross| Cox Town| Frazer Town| Bangalore,Manjit Da Dhaba,300.0,"4.5,4.2",Quick Bites
Modern Indian, 2989/B| 12th Main Road| HAL 2nd Stage| Indiranagar| Bangalore,Bombay Brasserie,1800.0,"4.6,4.2",Casual Dining
"North Indian,Beverages", 2345| 17th Cross| Sector 1| Opposite Water Tank| HSR| Bangalore,Mumbai Tiffin,400.0,"4.3,4.4",Quick Bites
South Indian, 81| East Anjaneya Street| NR Colony| Basavanagudi| Bangalore,Puliyogare Point,100.0,"4.3,4.4",Quick Bites
"North Indian,Continental,Fast Food,Asian,Beverages", Sheraton Grand Bangalore Hotel| Brigade Gateway| Malleshwaram| Bangalore,Feast - Sheraton Grand Bangalore Hotel at Brigade...,1000.0,4.4,Fine Dining
"Sushi,Continental,Italian,Asian", 48| Defence Colony| 100 Feet Road| Indiranagar| Bangalore,Arena - Artisanal Brewkitchen,2000.0,4.4,Microbrewery
Mithai, 43| BDA Complex| 2nd Stage| Banashankari| Bangalore,Poonam Sweets,250.0,4.4,Sweet Shop
"Ice Cream,Desserts", Delivery Only,The Soft Corner,300.0,4.4,
"Bakery,Desserts", 62| Meenakashi Kovil Street| Commercial Street| Bangalore,Sugarberryz Cakery,1200.0,4.4,
"North Indian,Chinese", Delivery Only,2 Mum's Kitchen,200.0,4.4,
"Japanese,Chinese,Thai,Beverages", Upper Ground Floor| Forum Shantiniketan| Whitefield Main Road| Thigalarapalya| Whitefield| Bangalore,You Mee,2000.0,"4.4,4.3",Casual Dining
"Bakery,Desserts", Delivery Only,Amintiri,500.0,4.4,
"North Indian,Mughlai,Beverages", Lower Ground| Forum Shantiniketan Mall| ITPL Main Road| Whitefield| Bangalore,Achaar,1600.0,4.4,Casual Dining
"North Indian,Continental,Chinese,South Indian", 90\/4| Outer Ring Road| Munnekollaly Village| Marathahalli| Bangalore,Melange - Radisson Blu,2600.0,4.4,Fine Dining
South Indian, 150| 9th Main Road| Sector 6| HSR| Bangalore,Raghavendra Tiffin,150.0,4.4,Quick Bites
Mughlai, 21| Sowrastrapet| KV Temple Street| 2nd Cross| Near Chikpet Police Station| Balapet| Near City Market| Bangalore,SGS Non Veg - Gundu Pulav,400.0,"4.2,4.6",Quick Bites
"North Indian,American,Continental,Desserts,Beverages", 82/2| 3rd Floor| Gold Sand| Doddakannalli| Mahadevapura| Sarjapur Road| Bangalore,Aurum Brew Works,1500.0,4.4,Microbrewery
South Indian, Flat 191| Sai Residency| 2nd Main Road| 8th Cross| ITI Layout| 6th Sector| HSR| Bangalore,Colombo Idli House,300.0,4.4,
Ice Cream, 2| 3rd Cross| 28th Main| 2nd Stage| BTM| Bangalore,High On Ice Cream,200.0,4.4,Dessert Parlor
"Bakery,Fast Food,Mithai", 462-463| 1st Main| 3rd Stage| 3rd Block| Basaveshwara Nagar| Bangalore,Pavitra Paradise,400.0,4.4,Bakery
"Desserts,Beverages", Forum Mall| Hosur Road| Koramangala 7th Block| Bangalore,Krispy Kreme,500.0,"4.2,4.5",Dessert Parlor
